Giovanna,Giovanna Dispensary
Gitare Gatundu,Gitare Health centre (Gatundu)
Githiga Health,Githiga Health Centre
Githiga Midways,Githiga Midways Clinic
Githiga Private Medical,Githiga Private Medical Clinic
Githima Dispensary,Githima Dispensary
Githima Health,Githima Health Clinic
Githima Medical,Githima Medical Clinic
Githirioni,Githirioni Dispensary
Githogoro Runda Baptist,Githogoro Runda Baptist Clinic
Githunguri Health,Githunguri Health Centre
Githunguri Health Ruiru,Githunguri Health Centre (Ruiru)
Githunguri Health Services,Githunguri Health Services Clinic
Githunguri Heathwatch,Githunguri Heathwatch Clinic
Githunguri Medical Plaza,Githunguri Medical Plaza Clinic
Githurai community,Githurai Community Clinic
Githurai Health Care Medical,Githurai Health Care Medical Clinic
Githurai LVCT,Githurai LVCT
Githurai Medical,Githurai Medical dispensary
Gitiha,Gitiha Dispensary
Gitithia,Gitithia Dispensary
Gituamba community,Gituamba Community Dispensary
Gituamba Mathore,Gituamba Mathore Dispensary
Gituamba Medical,Gituamba Medical Clinic
Gitwe,Gitwe Medical Clinic
GK Prison Bungoma,GK Prison Dispensary ( Bungoma)
GK Prison Ruiru,GK Prison Dispensary (Ruiru)
GK Prison Thika,GK Prison Dispensary (Thika)
GK Prisons Kiambu East,GK Prisons Dispensary (Kiambu East)
Glory Health,Glory Health Clinic
Glory Medical,Glory Medical Clinic
Glovnet VCT,Glovnet VCT
Good Health Medical,Good Health Medical Clinic
Good Neighbours,Good Neighbours Medical Clinic
Good Samaritan Dispensary,Good Samaritan Dispensary
Good Samaritan Medical Clinic,Good Samaritan Medical Clinic
Good Shepherd,Good Samaritan Medical Clinic
Grace Banana,Good Shepherd Dispensary
Grace Medical Care,Grace Home Clinic Banana
Grafrodei,Grace Medical Care Centre
Grawin,Grafrodei Medical Clinic
Green Cross,Grawin Medical Clinic
Green Gate,Green Cross Clinic
Gsu,Green Gate Medical Centre
GSU Ruiru,Gsu Dispensary
Gsu Hq Ruaraka,GSU Dispensary (Ruiru)
Gsu Training School,Gsu Hq Dispensary (Ruaraka)
Gtz,Gsu Training School
Guardian,Gtz Dispensary
Guru Nanak,Guardian Medical Services
Gynapaed,Guru Nanak Hospital
Hakati,Gynapaed Dispensary
Ham,Hakati Medical Clinic
Hamundia,Ham Medical Clinic
Hamza,Hamundia Health Centre
Hayat,Hamza Medical Clinic
Health Aid Chemist,Hayat Medical Clinic
HealthAid Kunda Street,Health Aid Chemist
Healthways,HealthAid Kunda Street
Helmon,Healthways Medical Centre
Heri Wema Ruai,Helmon Clinical Services
Heritage,Heri Wema Health Centre (Ruai)
Heshima,Heritage Medical Clinic
Highway Diagnostic,Heshima Medical Clinic
Highway Bungoma East,Highway Diagnostic Clinic
Holy Cross,Highway Medical Clinic (Bungoma East)
Holy Family Catholic,Holy Cross Dispensary
Holy Rosary Ikinu,Holy Family Catholic Mission
Hono,Holy Rosary Ikinu Dispensary
HopeHealth Medical,Hono Clinic
Hope community VCT,Hope and Health Medical clinic
Hope Med C,Hope Community VCT
Hope Medical,Hope Med C
Hope Gatundu South,Hope Medical Clinic
Hope Thika,Hope Medical Clinic (Gatundu South)
Hope World Wide Mukuru,Hope Medical Clinic (Thika)
Hope World Wide Mukuru,Hope World Wide Kenya Mukuru Clinic
Hope WorldwideVCT Makadara,Hope Worldwide Kenya VCT (Makadara)
Hopkins,Hopkins Medical Clinic
HOYMASVCT,HOYMAS-VCT
Huduma Bungoma,Huduma Centre Bungoma
Huduma,Huduma Health Centre
Hunters,Hunters Medical Clinic
Hurlingham Children's,Hurlingham Children's Clinic
Huruma EDARP,Huruma (EDARP)
Huruma Ncck,Huruma (Ncck) Dispensary
Huruma Lions,Huruma Lions Dispensary
Huruma Maternity,Huruma Maternity Hospital
Huruma Gatundu,Huruma Medical Clinic (Gatundu)
Huruma NursingMaternity,Huruma Nursing Home and Maternity
Huruma St Judes,Huruma St Judes
Huruma St Judes,Huruma St Judes Medical Centre
I Choose Life Africa,I Choose Life Africa
I Choose Life Africa,I Choose Life Africa
Iagaads Coffee Estate,Iagaads Coffee Estate Dispensary
Ideal Hope,Ideal Hope Medical Clinic
Ideal,Ideal Medical Clinic
Idf Mathare,Idf Mathare Dispensary
Igegania,Igegania Sub-District Hospital
Imani,Imani Medical Centre
Imani Gachie,Imani Medical Centre Gachie
